draw_idx,number,momentum,gap,markov,pattern,algebraic,lag1,lag2,hmmState,resonance,hit_in_5
110,47,-0.2480,1.0000,0.2302,0.2297,0,0,0,0.5000,0,1
110,48,0.1050,0.0000,0.2261,0.2388,0,0,1,0.5000,0,1
110,49,0.0853,0.5020,0.2302,0.1972,0,0,0,0.5000,0,0
112,1,0.1337,0.0000,0.1800,0.2069,0,1,0,0.5000,0,0
112,2,-0.2470,1.0000,0.2560,0.2294,0,0,0,0.5000,0,1
112,3,-0.2530,1.0000,0.2188,0.2800,0,0,0,0.5000,0,0
112,4,0.0962,0.4741,0.2833,0.2273,0,0,1,0.5000,0,0
112,5,0.0922,0.0000,0.2810,0.2623,0,0,1,0.5000,0,0
112,6,0.4433,0.2258,0.1947,0.2778,0,0,0,0.5000,0,1
112,7,0.0705,0.2640,0.2406,0.3165,0,0,0,0.5000,0,1
112,8,-0.2213,0.6673,0.2411,0.2172,0,0,0,0.5000,0,0
112,9,-0.2945,0.8880,0.3221,0.3103,0,0,0,0.5000,0,1
112,10,0.0725,0.2631,0.2955,0.2295,0,0,0,0.5000,0,1
112,11,0.0408,0.5857,0.2365,0.2692,0,0,1,0.5000,0,1
112,12,0.4315,0.0000,0.2881,0.1429,0,1,0,0.5000,0,1
112,13,0.3900,0.0000,0.2590,0.3226,0,1,0,0.5000,0,1
112,14,0.0764,0.2570,0.2308,0.2368,0,0,0,0.5000,0,1
112,15,0.0843,0.2510,0.2143,0.2436,0,0,0,0.5000,0,0
112,16,0.1179,0.2143,0.2110,0.0909,0,1,1,0.5000,0,1
112,17,0.0962,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
112,18,-0.2688,1.0000,0.3750,0.2396,0,0,0,0.5000,0,1
112,19,0.0705,0.5312,0.3383,0.3077,0,0,0,0.5000,0,1
112,20,0.0250,0.6263,0.3077,0.3418,0,0,0,0.5000,0,1
112,21,0.0665,0.5328,0.2296,0.2436,0,1,0,0.5000,0,1
112,22,-0.2332,0.6992,0.2373,0.2026,0,1,1,0.5000,0,1
112,23,-0.2549,1.0000,0.3023,0.2802,0,0,0,0.5000,0,1
112,24,0.4295,0.2361,0.2417,0.2727,0,1,0,0.5000,0,0
112,25,-0.2648,0.7996,0.2463,0.2842,0,0,0,0.5000,1,1
112,26,-0.2589,1.0000,0.2595,0.2677,0,1,1,0.5000,0,1
112,27,-0.2549,1.0000,0.2791,0.2829,0,0,0,0.5000,0,1
112,28,0.1021,0.4622,0.1966,0.1918,0,0,1,0.5000,0,1
112,29,-0.2431,0.9741,0.2764,0.2321,0,1,0,0.5000,0,0
112,30,-0.2589,0.7831,0.3130,0.2642,0,0,0,0.5000,0,1
112,31,0.0823,0.2515,0.2205,0.3377,0,0,0,0.5000,0,1
112,32,-0.2708,1.0000,0.2701,0.2834,0,0,0,0.5000,0,0
112,33,0.0626,0.0000,0.2206,0.2027,0,0,1,0.5000,0,1
112,34,-0.2569,1.0000,0.2538,0.2327,0,0,0,0.5000,0,1
112,35,0.1219,0.2146,0.2056,0.1343,0,0,0,0.5000,0,0
112,36,-0.2708,1.0000,0.2701,0.2284,0,0,0,0.5000,0,0
112,37,0.1080,0.2247,0.2544,0.2167,0,0,1,0.5000,0,1
112,38,0.0883,0.2450,0.2339,0.3562,0,0,0,0.5000,0,1
112,39,0.0744,0.0000,0.3077,0.2794,0,0,0,0.5000,0,1
112,40,-0.2411,1.0000,0.2049,0.2372,0,0,0,0.5000,0,1
112,41,0.3900,0.2791,0.2429,0.3043,0,0,0,0.5000,0,1
112,42,0.0863,0.4960,0.2400,0.2687,0,0,0,0.5000,0,1
112,43,0.1021,0.0000,0.2500,0.2985,0,0,0,0.5000,0,0
112,44,-0.2391,0.7243,0.2727,0.2294,0,0,0,0.5000,0,1
112,45,-0.2372,1.0000,0.2500,0.2311,0,0,0,0.5000,0,1
112,46,-0.2470,1.0000,0.2640,0.2627,0,0,0,0.5000,0,1
112,47,-0.2490,1.0000,0.2302,0.2319,0,0,0,0.5000,0,1
112,48,0.1061,0.0000,0.2281,0.2388,0,0,0,0.5000,0,1
112,49,0.0843,0.5020,0.2302,0.1972,0,0,0,0.5000,0,0
114,1,0.1349,0.0000,0.1818,0.2069,0,0,0,0.5000,0,1
114,2,-0.2480,1.0000,0.2560,0.2315,0,0,0,0.5000,0,1
114,3,-0.2540,1.0000,0.2188,0.2800,0,1,0,0.5000,0,0
114,4,0.0972,0.4711,0.2773,0.2273,0,1,1,0.5000,0,1
114,5,0.0933,0.0000,0.2833,0.2623,0,0,0,0.5000,0,1
114,6,0.4425,0.2258,0.1947,0.2778,0,0,0,0.5000,0,0
114,7,0.0694,0.2640,0.2406,0.3165,0,0,0,0.5000,0,1
